t_id_predio;t_id_terreno_1;t_id_terreno_2
1070416;1147452;1095190
813411;1075401;1072494
999285;1088493;1152219
674670;1081863;1174795
862977;1101977;1139604
685528;1145305;1144147
995738;1073837;1092830
953353;1119550;1073868
762605;1142478;1077534
942422;1114269;1111087
668169;1116301;1073849
853916;1073966;1166066
777896;1101638;1104068
709844;1105314;1074470
1064465;1073849;1162166
827796;1095727;1127002
977247;1085696;1085976
863312;1177914;1073556
877874;1100298;1103570
661173;1072503;1142665
1064768;1082680;1073576
1015803;1144995;1131024
661365;1078728;1073553
985379;1097919;1111808
1070872;1080761;1073841
881737;1073545;1172474
871489;1165982;1101638
768484;1101638;1078149
1057329;1073560;1118299
660397;1159276;1073015
984358;1083545;1101638
693359;1171442;1100298
1033968;1130955;1178665
940435;1131562;1097963
658578;1073131;1117563
1026111;1168200;1073694
773119;1100298;1164141
782541;1159020;1131972
1025354;1101638;1129652
907338;1073192;1120776
809609;1161710;1083454
738637;1119802;1090983
773326;1073559;1078728
888456;1159973;1158339
798495;1073570;1162205
845979;1155866;1073888
1026182;1136156;1150078
706564;1073944;1090199
1055163;1178866;1078586
1061578;1174743;1073982
661715;1111284;1073841
1070416;1089365;1095190
658683;1073631;1131031
660795;1078562;1073236
1024846;1072503;1152798
1000380;1120742;1112522
848370;1094254;1103842
661715;1073841;1078317
831676;1132855;1089644
696719;1104811;1155038
662513;1171920;1088342
1004967;1113703;1176669
661173;1076736;1072503
1031765;1123303;1113416
913935;1113719;1086088
758996;1134929;1100298
668169;1101645;1073849
879283;1126165;1130910
773147;1096147;1100298
878982;1153197;1099329
1019347;1150078;1091369
1061061;1143719;1135467
988269;1169986;1119697
819614;1072503;1088717
659751;1137795;1072701
707927;1073127;1167854
758996;1100298;1104886
960269;1085886;1124584
684407;1073849;1158589
895623;1072941;1172544
661323;1073505;1121877
894846;1100298;1149128
1049535;1073692;1163317
732858;1118103;1077887
967613;1167850;1141623
964718;1124821;1150635
813808;1108529;1073610
865524;1078837;1096994
673095;1100547;1076549
658877;1073638;1111408
659381;1117109;1073687
1034770;1143922;1111636
758996;1100298;1174297
758996;1173609;1100298
974732;1133561;1073639
942454;1142345;1101638
770750;1118617;1156308
698754;1130955;1123181
784748;1135216;1072506
862387;1116643;1106015
1060781;1162886;1142118
969798;1120636;1100191
961852;1073854;1150410
666916;1072453;1083295
834972;1073838;1136298
940435;1097963;1083101
914506;1125033;1159020
1067468;1159798;1139199
661691;1073778;1073760
990021;1132027;1178190
753274;1140059;1143719
927530;1168560;1078444
732687;1178867;1121489
912034;1121215;1077629
682874;1072506;1095923
1050146;1136428;1073690
1039423;1131856;1130647
838722;1073416;1164152
1026438;1116455;1091824
660312;1072980;1168462
914119;1111087;1167075
901699;1160802;1073466
848609;1159020;1163404
923402;1156133;1137476
672675;1123748;1092019
821698;1118841;1087169
1011633;1160078;1073742
758996;1100298;1081568
962029;1127257;1168124
661173;1162547;1072503
798617;1144236;1073558
1025354;1135827;1101638
1071325;1133967;1142867
909999;1079000;1100547
661173;1072503;1086317
659653;1113871;1072662
931658;1140395;1113686
954799;1119551;1097278
1054978;1153582;1130830
673532;1150852;1117193
752276;1122077;1090983
660480;1073075;1156605
758996;1100298;1096290
758996;1133854;1100298
3008704;1073849;1165020
954842;1078357;1178324
673095;1177827;1100547
940696;1150078;1129401
673095;1132440;1100547
929497;1091358;1114385
883467;1152219;1161138
851968;1165587;1078068
660177;1072934;1168290
661449;1139952;1073626
817413;1178866;1176703
792113;1081614;1079630
859411;1178866;1151915
828919;1150078;1103670
660568;1082483;1073133
842682;1100547;1155417
758996;1100298;1142507
1058500;1085042;1073631
1012158;1072718;1098708
913614;1100547;1103355
673095;1073840;1100547
658440;1085835;1073740
690700;1158982;1073312
1030296;1130311;1138464
1070416;1172148;1095190
