t_id_predio;numero_predial;matricula_inmobiliaria
851710;470010002000000070804800007185;131512
877832;470010112000000940801800000249;51901
684287;470010002000000050801800000243;73766
1035675;470010115000006470801800000024;66028
925307;470010115000000790801800000045;87185
778101;470010111000002880801800000037;60292
1011221;470010002000000070803800007101;133939
723446;470010002000000060801800004672;107254
1028157;470010002000000070803800007074;133921
747058;470010115000006520801800000014;132077
911673;470010110000000460801800000028;38958
731287;470010002000000070802800002066;115109
811054;470010109000002580801800000245;51462
744954;470010107000000990801800000058;60035
801281;470010112000000940801800000276;51928
684973;470010110000000730802800000011;59253
1062026;470010004000000020801800000360;60560
663452;470010002000000040801800005015;111588
905287;470010002000000070803800007092;133946
751240;470010002000000070803800006984;133915
1049767;470010109000002580801800000253;51470
898277;470010002000000070804800007161;131507
684250;470010106000007040801800000004;51063
832035;470010002000000070803800007073;133920
931067;470010107000000790801800000018;32615
905591;470010002000000070801800001958;112772
682597;470010107000000600801800000026;29307
1071617;470010109000002580801800000249;51466
972293;470010103000000570801800000050;60827
688355;470010110000000730802800000030;59272
796047;470010107000001050801800000089;24208
979280;470010103000000570801800000030;60807
1016985;470010103000000590801800000083;57054
982531;470010103000000590801800000052;57085
690032;470010107000001050801800000110;24215
1060779;470010106000007020801800000008;51045
905827;470010002000000050801800000256;73772
922106;470010112000000940801800000338;58279
1036208;470010002000000070804800007200;131527
971020;470010001000000020801800002399;130604
1009788;470010102000003190801800000019;69984
947592;470010107000000930801800000040;52365
902914;470010002000000070804800007171;131479
1040549;470010002000000040801800005013;111586
856235;470010106000007710801800000013;67130
1026701;470010002000000070804800007130;131457
980201;470010103000000110801800000048;49693
723956;470010002000000050801800000146;73711
947712;470010106000007670801800000008;63351
665311;470010112000000940801800000170;51822
705114;470010111000002880801800000075;
1059572;470010107000000440801800000026;4468
810452;470010001000000020801800002408;151701
1065816;470010107000000560801800000080;40293
782120;470010113000000350801800000027;71915
1071610;470010107000001050801800000080;50334
925448;470010002000000070802800002074;115105
819616;470010107000001050801800000139;24253
809234;470010002000000050801800000222;73755
1019270;470010002000000050802800000340;68505
741884;470010111000002880801800000112;60362
666521;470010106000007020801800000001;51038
929556;470010002000000050801800000187;73686
924195;470010111000002880801800000100;60350
899274;470010107000000990801800000094;100671
676440;470010107000000990801800000075;100652
1000806;470010109000002580801800000383;51537
689559;470010110000000730802800000017;59259
985336;470010102000002160802800000022;100578
900009;470010002000000060801800004667;107249
732841;470010106000007700801800000007;67100
695206;470010112000000940801800000155;51806
1013544;470010108000000160801800000013;31782
861977;470010109000002580801800000036;51239
878694;470010004000000020801800000332;60532
708156;470010112000000940801800000251;51903
1049463;470010107000001050801800000122;66209
953976;470010001000000020803800001681;62074
805419;470010103000001960801800000112;64881
1030913;470010107000000880801800000027;34521
1021518;470010112000000940801800000116;51767
698857;470010004000000020801800000302;60502
790685;470010001000000020803800001676;62069
713663;470010107000001050801800000050;24202
775790;470010002000000070801800001991;112805
1054197;470010002000000070802800002050;115093
902703;470010107000000990801800000034;60011
950499;470010002000000060801800004611;107191
925903;470010103000000570801800000010;60786
993398;470010106000007660801800000006;63303
878748;470010103000000450801800000070;38738
1015665;470010111000002880801800000014;60263
922726;470010001000000020801800002420;151699
697055;470010110000000460801800000032;38962
795186;470010107000000810801800000318;10203320078568
736414;470010110000000170801800000040;32076
944771;470010110000000470801800000008;36397
832353;470010107000001050801800000100;24225
763464;470010109000002580801800000158;51374
1045644;470010002000000050801800000228;73748
763160;470010107000001050801800000072;24175
678152;470010104000001070801800000029;65584
1028003;470010002000000050801800000164;73706
857666;470010109000002580801800000097;51311
792219;470010002000000050802800000369;68534
1070195;470010109000001140801800000016;59502
682898;470010107000001050801800000133;24232
1024833;470010002000000070804800007199;131526
874973;470010002000000060801800004606;107186
1006076;470010111000000860801800000020;63706
793419;470010112000000940801800000374;58315
769184;470010107000000840801800000094;36885
928583;470010002000000050801800000116;73631
1020290;470010110000000460801800000088;39018
926545;470010002000000040801800004994;111277
710440;470010002000000070801800006995;108022
901188;470010103000000570801800000005;60781
689837;470010107000001050801800000104;24221
921602;470010111000002880801800000141;60337
1035336;470010111000002880801800000084;60334
708346;470010102000002160802800000042;100583
737112;470010112000000940801800000239;51891
710555;470010002000000070803800002182;131428
818239;470010002000000070801800007013;101932
797618;470010109000002580801800000267;51484
1041158;470010110000000490802800000064;59415
1070755;470010107000000840802800000117;58225
874995;470010002000000060801800004634;107216
682786;470010002000000040801800009976;132050
805543;470010105000002070801800000063;30833
791810;470010002000000050802800000399;68564
832349;470010109000002580801800000007;51202
1063447;470010002000000040801800004986;111268
835774;470010104000001070801800000018;65572
1019728;470010107000001050801800000121;66208
808362;470010112000000940801800000022;51673
813664;470010110000000400801800000535;25415
758723;470010106000007730801800000016;67086
895212;470010002000000070801800001945;112759
1010319;470010002000000040801800004981;111250
901047;470010107000001570801800000051;97991
982241;470010106000007670801800000022;63349
1065804;470010106000007100801800000016;51134
1065412;470010112000000940801800000234;51886
696681;470010112000000940801800000277;51929
856288;470010002000000070801800007209;138785
1064444;470010110000000460801800000084;39014
1050334;470010002000000050802800000359;68524
793578;470010003000000010801800002014;94645
1042463;470010106000007670801800000018;63306
961628;470010104000001070801800000033;65588
1006078;470010109000001140801800000015;59501
980556;470010106000007080801800000018;51118
819078;470010002000000050801800000204;73673
1063770;470010110000000730802800000032;59274
1028533;470010002000000060801800004657;107239
813011;470010002000000070802800002056;115099
992349;470010112000000940801800000357;58298
827070;470010109000002580801800000308;105763
701889;470010002000000040801800004975;111259
903451;470010002000000050801800000322;73841
1011541;470010107000001050801800000155;24261
898460;470010107000000440801800000028;2320
752668;470010111000002880801800000089;60340
945086;470010109000002580801800000211;51427
694400;470010111000000860801800000008;63698
1070134;470010105000002350801800000013;56793
955342;470010104000001070801800000030;65585
905086;470010107000001640801800000007;9304
790646;470010002000000070801800001951;112765
969091;470010002000000070804800007134;131461
856628;470010107000000380801800000014;57456
776293;470010002000000070801800007219;138795
1071613;470010107000001050801800000068;24164
1071619;470010107000001050801800000101;24224
1069031;470010002000000070801800002001;11281
736491;470010107000000460801800000243;61982
994601;470010107000000440801800000024;4078
974902;470010002000000050802800000375;68540
880394;470010002000000070801800007037;101954
808440;470010900000001090801800000011;65251
909822;470010002000000050801800000148;73732
817419;470010111000002880801800000023;60254
1008312;470010107000000880801800000046;39682
810641;470010109000002580801800000055;51260
774125;470010110000000730802800000031;59273
889762;470010107000000880801800000047;39683
758896;470010107000000560802800000085;43120
725946;470010107000000810802800000341;79488
707927;470010107000001600801800000031;89869
697848;470010106000000230801800000042;68752
1065177;470010106000007690801800000011;67061
695168;470010112000000940801800000025;51676
862876;470010003000000010802800004065;128811
721518;470010002000000070801800007042;101949
952961;470010102000002160802800000045;100586
1030182;470010110000000170801800000006;32045
925466;470010002000000070802800002086;115124
817766;470010105000000900801800000016;10428
780121;470010107000000990801800000103;128925
713475;470010112000000940801800000031;51682
921604;470010111000002880801800000136;60385
861413;470010111000002880801800000010;60267
665420;470010002000000060801800004642;107224
827502;470010115000006470801800000012;66043
823275;470010002000000050802800000360;68525
778469;470010105000002070801800000065;30823
1066279;470010112000000940801800000201;51853
1047867;470010108000000070801800000034;8548
830545;470010004000000020801800000336;60536
777260;470010001000000020801800002400;130605
1037779;470010102000001090801800000017;31328
1010064;470010002000000050801800000118;73633
806447;470010109000002580801800000311;51503
707373;470010112000000940801800000108;51759
1031575;470010002000000050801800000178;73721
940552;470010112000000940801800000146;51797
690732;470010107000001050801800000124;87159
910824;470010107000000810802800000346;79498
818680;470010002000000050802800000341;68506
927503;470010002000000070804800007116;131331
898016;470010111000000860801800000018;63708
792781;470010109000002580801800000306;51501
746639;470010004000000020801800000365;60565
1071293;470010107000000880801800000026;34522
763816;470010107000001300801800000013;96852
